127.0.0.1 - - [22/May/2018:00:34:24 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [22/May/2018:00:34:25 +0900] "GET /ecsite/ HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [22/May/2018:00:34:25 +0900] "GET /ecsite/image/Top_Bike.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2018:00:34:30 +0900] "GET /ecsite/HomeAction.action HTTP/1.1" 200 3382
0:0:0:0:0:0:0:1 - - [22/May/2018:00:34:38 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [22/May/2018:00:34:51 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [22/May/2018:00:42:39 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [22/May/2018:00:43:25 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [22/May/2018:00:52:47 +0900] "GET /ecsite/ HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [22/May/2018:00:52:49 +0900] "GET /ecsite/HomeAction.action HTTP/1.1" 200 3382
0:0:0:0:0:0:0:1 - - [22/May/2018:00:52:54 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [22/May/2018:00:53:07 +0900] "GET /ecsite/LoginAction.action HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [22/May/2018:00:53:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/May/2018:00:53:11 +0900] "POST /ecsite/LoginAction.action;jsessionid=C1E535083478C4F27D0721CBAD668959 HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [22/May/2018:00:53:23 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [22/May/2018:00:53:38 +0900] "GET /ecsite/GoHomeAction.action HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [22/May/2018:00:53:38 +0900] "GET /ecsite/image/Top_Bike.jpg HTTP/1.1" 200 250434
