127.0.0.1 - - [03/Jun/2018:16:07:35 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:07:38 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:07:38 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:07:38 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:07:40 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:08:48 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:27 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:27 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:27 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:29 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:29 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:29 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:25:29 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:09 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4544
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:09 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:09 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:09 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:32 +0900] "POST /sample-web/LoginAction.action HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:32 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:39 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:39 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:39 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 200 1168307
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:50 +0900] "GET /sample-web/ProductDetailsAction.action?productId=2 HTTP/1.1" 200 5901
0:0:0:0:0:0:0:1 - - [03/Jun/2018:16:28:50 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
